"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Samaje Perine","CIN","51.2","200.4","1.5","21.2","195.7","1.1","0.7","53.5"
"Khalil Herbert","IND","84.6","325.0","2.1","8.3","54.0","0.2","0.0","51.8"
"Ty Johnson","BUF","45.7","208.1","1.0","15.2","165.1","1.5","0.1","51.6"
"Jarquez Hunter","LAR","57.1","245.0","1.9","8.5","69.0","0.4","0.7","43.9"
"Antonio Gibson","NE","51.5","209.5","1.0","15.8","127.1","0.5","0.0","42.4"
"Elijah Mitchell","KC","62.5","235.9","1.9","8.5","49.0","0.4","0.1","42.1"
"Devin Singletary","NYG","51.8","234.9","1.5","9.4","63.3","0.1","0.4","39.0"
"Trevor Etienne","CAR","47.8","191.3","1.5","10.7","86.8","0.4","0.4","38.3"
"Tahj Brooks","CIN","24.9","225.4","1.9","6.7","48.2","0.1","0.6","38.0"
"Kenneth Gainwell","PIT","53.9","196.5","1.3","12.5","88.6","0.4","0.4","37.7"
"Will Shipley","PHI","37.4","199.4","1.3","8.3","61.8","0.4","0.1","36.2"
"Sean Tucker","TB","44.8","231.4","1.4","5.1","40.1","0.3","0.7","36.1"
"Devin Neal","NO","38.8","204.6","1.3","7.3","54.5","0.4","0.1","35.9"
"Emanuel Wilson","GB","41.9","202.7","1.4","7.4","53.9","0.4","0.3","35.6"
"Kyle Monangai","CHI","33.4","213.0","1.8","4.4","31.6","0.0","0.0","35.0"
"Jaleel McLaughlin","DEN","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"Zamir White","LV","56.1","190.2","1.1","8.6","61.7","0.3","0.0","33.6"
"A.J. Dillon","PHI","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Jacory Croskey-Merritt","WAS","33.0","169.7","1.4","3.7","27.3","0.1","0.0","28.3"
"DJ Giddens","IND","24.1","157.7","1.2","5.8","44.6","0.1","0.0","27.6"
"Jordan James","SF","26.9","154.8","1.3","3.3","29.5","0.0","0.0","26.1"
"Brashard Smith","KC","9.7","97.0","0.7","10.9","80.3","0.7","0.0","25.5"
"Audric Estime","DEN","45.5","148.6","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
"Kyle Juszczyk","SF","6.7","26.8","0.4","14.1","136.3","1.1","0.4","24.2"
"Isaiah Davis","NYJ","28.3","144.5","0.8","5.1","36.3","0.1","0.0","23.7"
"Chris Brooks","GB","30.9","139.4","0.9","5.3","34.5","0.0","0.0","23.2"
"Clyde Edwards-Helaire","NO","41.5","126.7","0.6","5.7","42.7","0.3","0.1","22.1"
"Ollie Gordon II","MIA","36.2","126.1","1.1","3.5","26.9","0.1","0.4","21.5"
"Kimani Vidal","LAC","35.4","105.4","0.6","5.4","41.0","0.3","0.0","20.0"
"Sincere McCormick","LV","23.7","112.9","0.8","4.3","29.9","0.1","0.1","19.2"
"Emari Demercado","ARI","18.7","106.3","0.4","8.1","54.0","0.1","0.0","19.1"
"Chris Rodriguez Jr.","WAS","33.0","121.8","0.9","1.6","11.9","0.0","0.0","19.1"
"Ty Chandler","MIN","18.9","96.3","0.7","5.5","38.8","0.1","0.0","18.3"
"Cam Akers","NO","36.1","113.4","0.6","3.0","20.4","0.1","0.0","18.0"
"Kalel Mullings","TEN","10.4","96.5","0.6","3.0","21.8","0.0","0.0","15.8"
"Damien Martinez","SEA","8.6","97.0","0.6","3.0","22.0","0.0","0.0","15.7"
"Dameon Pierce","HOU","4.5","81.6","0.7","5.8","40.1","0.1","1.0","15.4"
"Patrick Taylor Jr.","SF","29.1","89.6","0.4","2.9","21.5","0.2","0.0","14.5"
"Alec Ingold","MIA","11.0","21.9","0.8","7.4","53.7","0.4","0.4","14.0"
"Tyler Goodson","IND","16.5","67.0","0.3","4.3","30.3","0.3","0.0","13.7"
"Rasheen Ali","BAL","5.2","80.8","0.6","2.4","17.7","0.1","0.0","13.6"
"Raheem Blackshear","CAR","30.4","86.8","0.5","2.8","20.6","0.1","0.5","13.2"
"Jeremy McNichols","WAS","19.7","73.6","0.7","2.4","12.3","0.0","0.0","13.1"
