"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"163","Tua Tagovailoa","MIA","14","QB23","","190","","172.8"
"164","Ryan Succop","","","K7","","146","","173.5"
"165","Chuba Hubbard","CAR","13","RB51","","141","","140.0"
"166","Greg Zuerlein","","","K8","","149","","176.5"
"167","Elijah Moore","BUF","7","WR60","","145","","146.3"
"168","Ryan Fitzpatrick ","","","QB24","","193","","180.5"
"169","Mark Ingram","II","","RB52","","202","","183.8"
"170","James White ","","","RB53","","211","","183.8"
"171","Cleveland Browns","DST","13","DST11","","148","","185.0"
"172","Hunter Henry","NE","14","TE16","","150","","154.0"
"173","Zach Ertz","WAS","9","TE17","","181","","155.0"
"174","Rashaad Penny","","","RB54","","169","","155.7"
"175","Miami Dolphins","DST","14","DST12","","184","","188.0"
"176","Mason Crosby","","","K9","","179","","197.3"
"177","Kansas City Chiefs","DST","12","DST13","","186","","197.3"
"178","Evan Engram","DEN","11","TE18","","192","","169.7"
"179","Bryan Edwards","","","WR61","","180","","169.7"
"180","Pat Freiermuth","PIT","7","TE19","","174","","170.3"
"181","Sterling Shepard","TB","9 ","WR62","","214","","173.3"
"182","Gerald Everett","","","TE20","","175","","175.7"
"183","Giovani Bernard","","","RB55","","210","","180.3"
"184","Rondale Moore","MIN","7","WR63","","183","","180.7"
"185","Robbie Gould","","","K10","","155","","210.8"
"186","Kenneth Gainwell","PIT","7","RB56","","187","","181.7"
"187","Terrace Marshall Jr.","PHI","14","WR64","","177","","181.7"
"188","Daniel Carlson","LV","8","K11","","208","","206.5"
"189","Jason Myers","SEA","9","K12","","168","","208.5"
"190","Derek Carr","","","QB25","","213","","184.3"
"191","Marlon Mack","","","RB57","","191","","186.3"
"192","Tony Jones Jr.","","","RB58","","199","","186.3"
"193","A.J. Green","","","WR65","","188","","187.7"
"194","Amon-Ra St. Brown","DET","9","WR66","","176","","188.3"
"195","Randall Cobb","","","WR67","","159","","188.7"
"196","Gabe Davis","","","WR68","","212","","192.7"
"197","Matt Gay","WAS","9","K13","","201","","216.5"
"198","Darrel Williams","","","RB59","","207","","193.7"
"199","Devontae Booker","","","RB60","","173","","197.0"
"200","Zach Wilson","MIA","14","QB26","","178","","197.7"
"201","Anthony Firkser","","","TE21","","240","","200.7"
"202","Damien Williams","","","RB61","","239","","205.0"
"203","Matt Prater","","","K14","","164","","208.3"
"204","Deshaun Watson","CLE","13","QB27","","195","","213.3"
"205","Ty","","'Son Williams","","","RB62","","198","","180.5"
"206","Marquez Valdes-Scantling","SEA","9","WR69","","203","","215.7"
"207","Malcolm Brown","","","RB63","","235","","215.7"
"208","Brandon McManus","GB","13","K15","","200","","217.3"
"209","Darrynton Evans","BUF","7 ","RB64","","","","186.0"
"210","Minnesota Vikings","DST","7","DST14","","172","","226.7"
"211","Jalen Reagor","LAC","7","WR70","","196","","192.0"
"212","Austin Hooper","NE","14","TE22","","189","","195.5"
"213","Rashod Bateman","BAL","8","WR71","","217","","198.5"
"214","Ty Johnson","BUF","7","RB65","","221","","202.5"
"215","Jamison Crowder","","","WR72","","248","","206.5"
"216","Wayne Gallman Jr.","","","RB66","","","","209.5"
"217","T.Y. Hilton","","","WR73","","197","","209.5"
"218","J.J. Taylor","HOU","10","RB67","","","","211.0"
"219","Allen Lazard","NYJ","6","WR74","","218","","212.5"
"220","Christian Kirk","HOU","10","WR75","","245","","213.5"
"221","Seattle Seahawks","DST","9","DST15","","233","","215.5"
"222","Green Bay Packers","DST","13","DST16","","204","","216.0"
"223","Emmanuel Sanders","","","WR76","","215","","218.0"
"224","Wil Lutz","DEN","11 ","K16","","","","218.5"
"225","Kadarius Toney","","","WR77","","232","","218.5"
"226","Arizona Cardinals","DST","12","DST17","","226","","219.5"
"227","Salvon Ahmed","IND","14","RB68","","246","","220.5"
"228","Carlos Hyde ","","","RB69","","209","","220.5"
"229","Todd Gurley","II","","RB70","","227","","220.5"
"230","Blake Jarwin","","","TE23","","216","","222.5"
"231","Cole Kmet","CHI","10","TE24","","205","","223.0"
"232","Adam Trautman","DEN","11","TE25","","219","","226.0"
"233","Carson Wentz","","","QB28","","244","","250.0"
"234","Tennessee Titans","DST","13","DST18","","","","175.0"
"235","Anthony McFarland Jr.","","","RB71","","","","176.0"
"236","Tre","","'Quan Smith","","","WR78","","242","","230.5"
"237","Cordarrelle Patterson","","","RB72","","225","","230.5"
"238","Justin Jackson","","","RB73","","","","231.5"
"239","O.J. Howard","","","TE26","","","","183.0"
"240","Joshua Palmer","BUF","7","WR79","","228","","232.5"
"241","Tyrell Williams","","","WR80","","224","","233.5"
"242","Chicago Bears","DST","10","DST19","","229","","234.5"
"243","Tarik Cohen","","","RB74","","250","","235.0"
"244","Boston Scott","","","RB75","","231","","236.5"
"245","Taysom Hill","NO","6","TE27","","","","193.0"
"246","Jordan Akins","","","TE28","","","","194.0"
"247","Jaret Patterson","LAC","7","RB76","","","","197.0"
"248","Elijah Mitchell","KC","12","RB77","","","","199.0"
"249","Parris Campbell","","","WR81","","243","","240.5"
"250","Nico Collins","HOU","10","WR82","","","","201.0"
"251","Donovan Peoples-Jones","NO","6","WR83","","","","203.0"
"252","Los Angeles Chargers","DST","7","DST20","","206","","251.5"
"253","Benny Snell Jr.","","","RB78","","","","209.0"
"254","Javian Hawkins","TEN","13","RB79","","","","210.0"
"255","Brian Hill","","","RB80","","","","211.0"
"256","Daniel Jones","IND","14 ","QB29","","238","","246.5"
"257","Evan McPherson","CIN","10","K17","","223","","247.5"
"258","Eric Ebron","","","TE29","","230","","248.0"
"259","Joshua Kelley","","","RB81","","","","218.0"
"260","Xavier Jones","","","RB82","","220","","305.0"
"261","Carolina Panthers","DST","13","DST21","","222","","257.5"
"262","New Orleans Saints","DST","6","DST22","","236","","252.5"
"263","Chris Herndon","IV","","TE30","","","","225.0"
"264","Darius Slayton","NYG","10","WR84","","","","226.0"
"265","Justice Hill","BAL","8 ","RB83","","","","227.0"
"266","Sam Darnold","SEA","9","QB30","","234","","255.0"
"267","Juwan Johnson","NO","6","TE31","","","","234.0"
"268","Jerick McKinnon","","","RB84","","237","","270.5"
"269","Byron Pringle","","","WR85","","","","239.0"
"270","Sammy Watkins","","","WR86","","241","","261.0"
"271","Tim Tebow","","","TE32","","","","244.0"
"272","Hayden Hurst","","","TE33","","","","245.0"
"273","Dawson Knox","BUF","7","TE34","","","","247.0"
"274","Jimmy Graham","","","TE35","","","","249.0"
"275","Detrez Newsome","","","RB85","","249","","249.0"
"276","John Brown","","","WR87","","251","","280.5"
"277","Houston Texans","DST","10","DST23","","","","252.0"
"278","Paul McRoberts","","","WR88","","252","","252.0"
"279","Jonathan Brown","","","K18","","253","","253.0"
"280","Sam Ficken","","","K19","","","","254.0"
"281","Marcus Marshall","","","RB86","","254","","254.0"
"282","Vincent Testaverde","","","QB31","","255","","255.0"
"283","Nick Tiano","","","QB32","","256","","256.0"
"284","Kent Taylor","","","TE36","","257","","257.0"
"285","Cam Sutton","","","TE37","","258","","258.0"
"286","Stevan Ridley","","","RB87","","259","","259.0"
"287","Drew Lock","SEA","9","QB33","","","","259.0"
"288","Brandon Weeden","","","QB34","","260","","260.0"
"289","Breshad Perriman","","","WR89","","","","260.0"
"290","Isaiah Burse","","","WR90","","261","","261.0"
"291","La","","'Mical Perine","","","RB88","","","","261.0"
"292","Juwan Green","","","WR91","","262","","262.0"
"293","Taywan Taylor","","","WR92","","263","","263.0"
"294","Qadree Ollison","","","RB89","","","","263.0"
"295","Derel Walker","","","WR93","","264","","264.0"
"296","Tyler Davis","","","WR94","","265","","265.0"
"297","Dan Arnold","","","TE38","","","","265.0"
"298","Connor Davis","","","TE39","","266","","266.0"
"299","Tyrod Taylor","NYJ","6","QB35","","","","267.0"
"300","Josiah Deguara","ARI","12","TE40","","267","","267.0"
"301","Khalid Hill","","","RB90","","268","","268.0"
"302","Aaron Fuller","","","WR95","","269","","269.0"
"303","Austin Traylor","","","TE41","","270","","270.0"
"304","Pooka Williams Jr.","","","RB91","","","","270.0"
"305","Jarvion Franklin","","","RB92","","271","","271.0"
"306","Scotty Miller","PIT","7","WR96","","","","271.0"
"307","Martavis Bryant","","","WR97","","272","","272.0"
"308","Cam Newton","","","QB36","","","","273.0"
"309","Drew Anderson","","","QB37","","273","","273.0"
"310","Denzel Mims","","","WR98","","","","274.0"
"311","Cole McDonald","","","QB38","","274","","274.0"
"312","Willie Snead","IV","","WR99","","275","","275.0"
"313","Dee Eskridge","MIA","14","WR100","","","","275.0"
"314","Darrin Hall","","","RB93","","276","","276.0"
"315","Dalton Schultz","HOU","10","TE42","","","","277.0"
"316","DeAndre Thompkins","","","WR101","","277","","277.0"
"317","Phillip Andersen","","","K20","","278","","278.0"
"318","Eno Benjamin","","","RB94","","","","278.0"
"319","Isaiah Crowell","","","RB95","","279","","279.0"
"320","Jeff Wilson Jr.","SF","6","RB96","","","","279.0"
"321","Jeremy Kerley","","","WR102","","280","","280.0"
"322","Austin MacGinnis","","","K21","","","","280.0"
"323","Broc Rutter","","","QB39","","281","","281.0"
"324","DeSean Jackson","","","WR103","","","","282.0"
"325","Royce Freeman","","","RB97","","","","284.0"
"326","Dallas Cowboys","DST","7","DST24","","","","286.0"
"327","Keke Coutee","","","WR104","","","","288.0"
"328","Jared Goff","DET","9","QB40","","","","289.0"
"329","Mo Alie-Cox","IND","14","TE43","","","","290.0"
"330","Teddy Bridgewater","TB","9","QB41","","","","291.0"
"331","Olamide Zaccheaus","CHI","10","WR105","","","","292.0"
"332","Jalen Richard","","","RB98","","","","294.0"
"333","Hunter Renfrow","CAR","13","WR106","","","","296.0"
"334","Larry Rountree","III","","RB99","","","","298.0"
"335","Jimmy Garoppolo","LAR","11","QB42","","","","300.0"
"336","Samaje Perine","CIN","10","RB100","","","","302.0"
"337","Travis Fulgham","","","WR107","","","","303.0"
"338","Ke'Shawn Vaughn","SF","6","RB101","","","","305.0"
"339","Mike Boone","MIA","14","RB102","","","","306.0"
"340","David Moore","CAR","13","WR108","","","","307.0"
"341","Quintez Cephus","HU","10 O","WR109","","","","308.0"
"342","Kerryon Johnson","","","RB103","","","","309.0"
"343","Philadelphia Eagles","DST","14","DST25","","","","311.0"
"344","D","","'Onta Foreman","","","RB104","","","","312.0"
"345","Chris Boswell","PIT","7","K22","","","","313.0"
"346","New York Giants","DST","10","DST26","","","","314.0"
"347","Josh Reynolds","NYJ","6","WR110","","","","315.0"
"348","Tim Patrick","DET","9","WR111","","","","316.0"
"349","Graham Gano","NYG","10","K23","","","","317.0"
"350","Kalen Ballage","","","RB105","","","","318.0"
"351","Cairo Santos","CHI","10","K24","","","","319.0"
"352","Cody Parkey","","","K25","","","","320.0"
"353","Deonte Harty","","","WR112","","","","321.0"
"354","Anthony Miller","BAL","8","WR113","","","","322.0"
"355","Rashard Higgins","","","WR114","","","","323.0"
"356","Matt Breida","","","RB106","","","","324.0"
"357","Ameer Abdullah","SF","6","RB107","","","","325.0"
"358","New York Jets","DST","6","DST27","","","","326.0"
"359","KJ Hamler","BUF","7 ","WR115","","","","327.0"
"360","C.J. Uzomah","","","TE44","","","","328.0"
"361","Nick Folk","NYJ","6","K26","","","","329.0"
"362","Zach Pascal","NYG","10","WR116","","","","330.0"
"363","Marquise Goodwin","","","WR117","","","","331.0"
"364","Jake Elliott","PHI","14","K27","","","","332.0"
"365","Ka'imi Fairbairn","HOU","10","K28","","","","333.0"
"366","Jonathan Williams","","","RB108","","","","334.0"
"367","Jacksonville Jaguars","DST","7","DST28","","","","335.0"
"368","Devin Funchess","","","WR118","","","","336.0"
"369","Josh Lambo","","","K29","","","","337.0"
"370","Michael Badgley","","","K30","","","","338.0"
"371","Atlanta Falcons","DST","6","DST29","","","","339.0"
"372","Amari Rodgers","","","WR119","","","","340.0"
"373","Joey Slye","TEN","13","K31","","","","341.0"
"374","Stephen Anderson","","","TE45","","","","342.0"
"375","David Njoku","CLE","13","TE46","","","","343.0"
"376","Ito Smith","","","RB109","","","","344.0"
"377","Dyami Brown","JAC","7","WR120","","","","345.0"
"378","Albert Wilson","","","WR121","","","","346.0"
"379","Chase McLaughlin","TB","9","K32","","","","347.0"
"380","Donald Parham Jr.","PIT","7","TE47","","","","348.0"
"381","Dustin Hopkins","CLE","13","K33","","","","349.0"
"382","Kendrick Bourne","NE","14","WR122","","","","350.0"
"383","Marcus Mariota","WAS","9","QB43","","","","351.0"
"384","Antonio Gandy-Golden","","","WR123","","","","352.0"
"385","Van Jefferson","TEN","13","WR124","","","","353.0"
"386","Detroit Lions","DST","9","DST30","","","","354.0"
"387","Keelan Cole Sr.","","","WR125","","","","355.0"
"388","Tutu Atwell","LAR","11 ","WR126","","","","356.0"
"389","James Washington","","","WR127","","","","357.0"
"390","N","","'Keal Harry","","","WR128","","","","358.0"
"391","Tucker McCann","","","K34","","","","359.0"
"392","Randy Bullock","","","K35","","","","360.0"
"393","Cam Sims","","","WR129","","","","361.0"
"394","Jalen Guyton","","","WR130","","","","362.0"
"395","Chris Conley","","","WR131","","","","363.0"
"396","Shi Smith","","","WR132","","","","364.0"
"397","Preston Williams","","","WR133","","","","365.0"
"398","Damiere Byrd","","","WR134","","","","367.0"
"399","Trent Sherfield Sr.","DEN","11","WR135","","","","368.0"
"400","Michael Strachan","","","WR136","","","","369.0"
"401","Matt Jones","","","RB110","","","","370.0"
"402","Matt Ammendola","","","K36","","","","371.0"
"403","Jalen Hurd","","","WR137","","","","372.0"
"404","Ryan Santoso","","","K37","","","","373.0"
"405","Aldrick Rosas","","","K38","","","","374.0"
"406","Devin Smith","","","WR138","","","","375.0"
"407","Jordan Love","GB","13","QB44","","","","376.0"
"408","Greg Joseph","","","K39","","","","377.0"
"409","Cincinnati Bengals","DST","10","DST31","","","","378.0"
"410","Dezmon Patmon","","","WR139","","","","379.0"
"411","Khalil Herbert","IND","14","RB111","","","","380.0"
"412","Rodney Adams","","","WR140","","","","381.0"
"413","Jesper Horsted","","","TE48","","","","382.0"
"414","Peyton Barber","","","RB112","","","","383.0"
"415","Eddy Pineiro","","","K40","","","","384.0"
"416","Demetric Felton Jr.","WAS","9","RB113","","","","385.0"
"417","Cornell Powell","","","WR141","","","","386.0"
"418","Cam Akers","NO","6","RB114","","","","388.0"
""
""
